ID;X;Y;Cost;Path_Order;Is_Selected;Min_Z
179;3369;697;889;-1;0;83182
180;1913;314;175;4;1;83182
181;314;954;736;23;1;83182
182;2088;453;1327;-1;0;83182
183;1838;1943;43;38;1;83182
184;518;452;296;24;1;83182
185;3469;1080;64;72;1;83182
186;2121;1641;859;-1;0;83182
187;3903;911;1635;-1;0;83182
188;3848;355;1993;-1;0;83182
189;2298;573;1226;-1;0;83182
190;373;80;931;62;1;83182
191;701;1438;1573;-1;0;83182
192;350;802;1689;-1;0;83182
193;501;1290;5;13;1;83182
194;1514;277;1340;-1;0;83182
195;189;1151;1145;50;1;83182
196;3688;759;727;-1;0;83182
197;973;984;1637;-1;0;83182
198;910;1383;1255;-1;0;83182
199;262;1669;1307;48;1;83182
