ID;X;Y;Cost;Path_Order;Is_Selected;Min_Z
147;1085;1811;147;93;1;52319
148;3825;1576;145;25;1;52319
149;3388;1945;501;-1;0;52319
150;1310;1865;923;-1;0;52319
151;642;673;676;-1;0;52319
152;2909;1748;83;31;1;52319
153;2717;358;51;15;1;52319
154;3958;1389;782;60;1;52319
155;2452;1841;197;51;1;52319
156;297;653;506;-1;0;52319
157;1690;787;856;-1;0;52319
158;1118;954;743;-1;0;52319
159;2711;851;677;-1;0;52319
160;1978;992;421;79;1;52319
161;1973;1935;708;-1;0;52319
162;902;44;623;-1;0;52319
163;3078;311;182;16;1;52319
164;655;486;690;-1;0;52319
165;3139;124;509;69;1;52319
166;3525;715;67;19;1;52319
167;2446;1648;967;-1;0;52319
168;1848;1559;75;44;1;52319
169;1713;1818;92;45;1;52319
170;2829;1619;522;-1;0;52319
171;1601;634;953;-1;0;52319
172;3848;995;539;62;1;52319
173;905;550;707;-1;0;52319
174;3115;1498;766;-1;0;52319
175;1131;69;131;8;1;52319
176;3281;586;6;17;1;52319
177;1450;398;52;10;1;52319
178;683;1750;711;-1;0;52319
179;3749;1066;205;22;1;52319
180;3274;562;635;-1;0;52319
181;3209;1224;935;-1;0;52319
182;1595;1058;485;81;1;52319
183;3276;1559;31;30;1;52319
184;2600;1799;594;-1;0;52319
185;3525;1112;27;21;1;52319
186;2851;343;952;-1;0;52319
187;2813;30;216;70;1;52319
188;1622;1862;198;46;1;52319
189;2383;1648;502;52;1;52319
190;667;101;52;6;1;52319
191;817;1510;609;-1;0;52319
192;1236;1832;911;-1;0;52319
193;579;472;333;5;1;52319
194;3437;588;248;63;1;52319
195;1882;1616;342;-1;0;52319
196;234;358;990;-1;0;52319
197;254;827;839;-1;0;52319
198;441;604;470;-1;0;52319
199;3447;1705;619;-1;0;52319
