ID;X;Y;Cost;Path_Order;Is_Selected;Min_Z
77;816;696;1351;-1;0;236404
78;3399;405;20;62;1;236404
79;1852;682;561;33;1;236404
80;1823;868;445;-1;0;236404
81;3901;849;606;75;1;236404
82;3069;412;1133;-1;0;236404
83;2133;1803;1899;37;1;236404
84;656;226;931;-1;0;236404
85;3779;320;1618;-1;0;236404
86;2398;214;497;61;1;236404
87;2685;520;1842;-1;0;236404
88;3626;4;1866;-1;0;236404
89;1922;1845;754;-1;0;236404
90;3991;1300;246;-1;0;236404
91;3430;746;1510;-1;0;236404
92;3174;606;390;-1;0;236404
93;939;1962;860;-1;0;236404
94;2237;764;323;31;1;236404
95;3691;1650;1075;58;1;236404
96;664;1058;1278;73;1;236404
97;2465;426;310;47;1;236404
98;3954;681;1727;-1;0;236404
99;2246;490;1895;-1;0;236404
100;2343;360;965;25;1;236404
101;2504;302;297;28;1;236404
102;2866;1409;939;-1;0;236404
103;11;1064;1203;-1;0;236404
104;278;318;1655;-1;0;236404
105;849;777;1383;7;1;236404
106;3171;1147;264;-1;0;236404
107;3983;1428;1958;79;1;236404
108;389;1979;686;-1;0;236404
109;1410;1050;1326;29;1;236404
110;707;1513;1508;87;1;236404
111;2559;975;1478;-1;0;236404
112;816;83;607;-1;0;236404
113;3819;191;283;51;1;236404
114;2286;1740;1022;-1;0;236404
115;893;1198;166;43;1;236404
116;883;826;345;-1;0;236404
117;1199;1948;611;99;1;236404
118;1229;1036;824;-1;0;236404
119;3587;1123;1064;-1;0;236404
120;3016;260;34;80;1;236404
121;2218;431;1094;68;1;236404
122;1954;737;1183;10;1;236404
123;1199;322;119;34;1;236404
124;2337;850;962;-1;0;236404
125;2605;556;1940;18;1;236404
126;892;93;1631;-1;0;236404
127;1311;113;736;5;1;236404
128;2759;1067;1588;-1;0;236404
129;3023;557;657;-1;0;236404
130;2207;907;1687;6;1;236404
131;949;576;1018;-1;0;236404
132;2959;1856;1792;-1;0;236404
133;1675;616;491;12;1;236404
134;56;1957;1841;-1;0;236404
135;1651;164;197;-1;0;236404
136;2065;430;1302;69;1;236404
137;1902;1390;293;52;1;236404
138;3226;1399;1055;-1;0;236404
139;772;1422;150;35;1;236404
140;864;1933;945;3;1;236404
141;1521;1224;1845;92;1;236404
142;499;1421;1871;70;1;236404
143;1417;1961;424;-1;0;236404
144;2898;1609;168;-1;0;236404
145;3400;530;145;-1;0;236404
146;60;1148;839;88;1;236404
147;262;362;1931;57;1;236404
148;2498;1204;450;27;1;236404
149;993;581;849;89;1;236404
150;2540;260;1935;22;1;236404
151;1525;726;291;23;1;236404
152;2549;554;351;63;1;236404
153;1508;1818;1287;44;1;236404
154;1878;234;262;19;1;236404
155;2935;1553;1624;2;1;236404
156;932;34;1625;71;1;236404
157;3735;514;1106;-1;0;236404
158;2032;230;1155;-1;0;236404
159;331;1322;704;30;1;236404
160;307;671;228;-1;0;236404
161;1414;472;1719;0;1;236404
162;1416;553;555;49;1;236404
163;535;1791;1423;66;1;236404
164;3842;1892;597;-1;0;236404
165;3576;1287;286;26;1;236404
166;704;535;1567;72;1;236404
167;2682;984;960;14;1;236404
168;3507;486;1856;40;1;236404
169;3661;867;1528;-1;0;236404
170;1358;1913;1350;48;1;236404
171;3726;56;237;-1;0;236404
172;2861;825;1809;-1;0;236404
173;1795;337;1802;8;1;236404
174;3797;990;1716;94;1;236404
175;3828;57;178;-1;0;236404
176;1774;1020;70;82;1;236404
177;263;208;527;-1;0;236404
178;3134;1169;420;1;1;236404
179;3369;697;889;-1;0;236404
180;1913;314;175;60;1;236404
181;314;954;736;-1;0;236404
182;2088;453;1327;32;1;236404
183;1838;1943;43;-1;0;236404
184;518;452;296;-1;0;236404
185;3469;1080;64;15;1;236404
186;2121;1641;859;53;1;236404
187;3903;911;1635;-1;0;236404
188;3848;355;1993;45;1;236404
189;2298;573;1226;67;1;236404
190;373;80;931;-1;0;236404
191;701;1438;1573;-1;0;236404
192;350;802;1689;-1;0;236404
193;501;1290;5;-1;0;236404
194;1514;277;1340;16;1;236404
195;189;1151;1145;-1;0;236404
196;3688;759;727;-1;0;236404
197;973;984;1637;-1;0;236404
198;910;1383;1255;-1;0;236404
199;262;1669;1307;76;1;236404
