ID;X;Y;Cost;Path_Order;Is_Selected;Min_Z
102;2866;1409;939;77;1;71488
103;11;1064;1203;-1;0;71488
104;278;318;1655;-1;0;71488
105;849;777;1383;-1;0;71488
106;3171;1147;264;70;1;71488
107;3983;1428;1958;-1;0;71488
108;389;1979;686;12;1;71488
109;1410;1050;1326;-1;0;71488
110;707;1513;1508;-1;0;71488
111;2559;975;1478;-1;0;71488
112;816;83;607;25;1;71488
113;3819;191;283;54;1;71488
114;2286;1740;1022;-1;0;71488
115;893;1198;166;6;1;71488
116;883;826;345;30;1;71488
117;1199;1948;611;99;1;71488
118;1229;1036;824;33;1;71488
119;3587;1123;1064;64;1;71488
120;3016;260;34;81;1;71488
121;2218;431;1094;-1;0;71488
122;1954;737;1183;-1;0;71488
123;1199;322;119;38;1;71488
124;2337;850;962;87;1;71488
125;2605;556;1940;-1;0;71488
126;892;93;1631;-1;0;71488
127;1311;113;736;39;1;71488
128;2759;1067;1588;-1;0;71488
129;3023;557;657;80;1;71488
130;2207;907;1687;-1;0;71488
131;949;576;1018;-1;0;71488
132;2959;1856;1792;-1;0;71488
133;1675;616;491;36;1;71488
134;56;1957;1841;-1;0;71488
135;1651;164;197;41;1;71488
136;2065;430;1302;-1;0;71488
137;1902;1390;293;93;1;71488
138;3226;1399;1055;-1;0;71488
139;772;1422;150;3;1;71488
140;864;1933;945;-1;0;71488
141;1521;1224;1845;-1;0;71488
142;499;1421;1871;-1;0;71488
143;1417;1961;424;98;1;71488
144;2898;1609;168;73;1;71488
145;3400;530;145;58;1;71488
146;60;1148;839;15;1;71488
147;262;362;1931;-1;0;71488
148;2498;1204;450;76;1;71488
149;993;581;849;-1;0;71488
150;2540;260;1935;-1;0;71488
151;1525;726;291;35;1;71488
152;2549;554;351;86;1;71488
153;1508;1818;1287;-1;0;71488
154;1878;234;262;43;1;71488
155;2935;1553;1624;-1;0;71488
156;932;34;1625;-1;0;71488
157;3735;514;1106;-1;0;71488
158;2032;230;1155;-1;0;71488
159;331;1322;704;10;1;71488
160;307;671;228;17;1;71488
161;1414;472;1719;-1;0;71488
162;1416;553;555;37;1;71488
163;535;1791;1423;-1;0;71488
164;3842;1892;597;-1;0;71488
165;3576;1287;286;69;1;71488
166;704;535;1567;-1;0;71488
167;2682;984;960;-1;0;71488
168;3507;486;1856;-1;0;71488
169;3661;867;1528;-1;0;71488
170;1358;1913;1350;-1;0;71488
171;3726;56;237;52;1;71488
172;2861;825;1809;-1;0;71488
173;1795;337;1802;-1;0;71488
174;3797;990;1716;-1;0;71488
175;3828;57;178;53;1;71488
176;1774;1020;70;92;1;71488
177;263;208;527;21;1;71488
178;3134;1169;420;71;1;71488
179;3369;697;889;59;1;71488
180;1913;314;175;42;1;71488
181;314;954;736;9;1;71488
182;2088;453;1327;-1;0;71488
183;1838;1943;43;97;1;71488
184;518;452;296;28;1;71488
185;3469;1080;64;63;1;71488
186;2121;1641;859;95;1;71488
187;3903;911;1635;-1;0;71488
188;3848;355;1993;-1;0;71488
189;2298;573;1226;-1;0;71488
190;373;80;931;23;1;71488
191;701;1438;1573;-1;0;71488
192;350;802;1689;-1;0;71488
193;501;1290;5;4;1;71488
194;1514;277;1340;-1;0;71488
195;189;1151;1145;-1;0;71488
196;3688;759;727;66;1;71488
197;973;984;1637;-1;0;71488
198;910;1383;1255;-1;0;71488
199;262;1669;1307;-1;0;71488
